time,name,year,event
2:05.76,Natalie Green,2014,200 BACK
2:06.13,Quinn Katayama-S,2023,200 BACK
1:01.84,Annie Perizzolo,2010,100 BREAST
1:03.28,Augusta Lewis,2022,100 BREAST
1:03.51,C Bacon-Brenes,2017,100 BREAST
1:03.91,Mackenzie Mayfield,2023,100 BREAST
1:04.16,Bryn Edwards,2017,100 BREAST
1:04.19,Rachel Wander,2020,100 BREAST
1:04.65,Kelly Ngo,2014,100 BREAST
1:04.66,Zuzia Starzyk,2020,100 BREAST
1:04.77,Suzy Nicoletti,2002,100 BREAST
1:04.94,Kelly Prawira,2023,100 BREAST
2:14.83,Annie Perizzolo,2010,200 BREAST
2:15.62,Augusta Lewis,2022,200 BREAST
2:18.99,Kelly Prawira,2023,200 BREAST
2:19.06,C Bacon-Brenes,2017,200 BREAST
2:19.78,Emily McKinnon,2015,200 BREAST
2:20.01,Kelly Ngo,2014,200 BREAST
2:21.17,Suzy Nicoletti,2002,200 BREAST
2:21.77,Mackenzie Mayfield,2023,200 BREAST
2:22.34,Rachel Wander,2022,200 BREAST
2:22.83,Bryn Edwards,2017,200 BREAST
54.76,Katelyn Dang,2022,100 FLY
54.92,Ava Sealander,2022,100 FLY
54.93,Katie Bilotti,2010,100 FLY
55.23,Sun Young Byun,2023,100 FLY
55.74,Michele Kee,2011,100 FLY
56.04,Annika Jessen,2014,100 FLY
56.27,Mackenzie Mayfield,2023,100 FLY
56.42,Lorea Gwo,2015,100 FLY
56.47,Stephanie Doi,2017,100 FLY
56.56,Jamee Mitchum,2020,100 FLY
2:01.84,Augusta Lewis,2023,200 FLY
2:02.58,Katelyn Dang,2022,200 FLY
2:03.80,Michele Kee,2012,200 FLY
2:04.05,Ava Sealander,2020,200 FLY
2:04.42,Annie Johnson,2023,200 FLY
2:04.81,Annika Jessen,2014,200 FLY
2:06.40,Arisa Cowe,2020,200 FLY
2:07.12,Maya Kale,2013,200 FLY
2:07.33,Naomi Ngo,2017,200 FLY
2:07.42,Allyson Yao,2022,200 FLY
2:00.69,Augusta Lewis,2023,200 IM
2:03.59,Jamee Mitchum,2022,200 IM
2:03.79,Michele Kee,2012,200 IM
2:04.74,Mackenzie Mayfield,2023,200 IM
2:05.41,Stephanie Doi,2016,200 IM
2:06.82,Allyson Yao,2023,200 IM
2:07.12,Suzy Nicoletti,2002,200 IM
2:07.14,Natalie Larsen,2020,200 IM
2:07.81,Lisal Smith,2004,200 IM
2:07.94,Emily McKinnon,2015,200 IM
22.69,Ava Sealander,2022,50 FREE-Relay Spl.
22.92,Helen Liu,2014,50 FREE-Relay Spl.
22.93,Natalia Orbach-M,2018,50 FREE-Relay Spl.
22.95,Jocelyn Crawford,2017,50 FREE-Relay Spl.
23.27,Katie Bilotti,2010,50 FREE-Relay Spl.
23.31,Kelly Ngo,2014,50 FREE-Relay Spl.
23.33,Michele Kee,2012,50 FREE-Relay Spl.
23.38,Lexi Punishill,2023,50 FREE-Relay Spl.
23.45,Zuzia Starzyk,2020,50 FREE-Relay Spl.
23.47,Annika Sharma,2023,50 FREE-Relay Spl.
50.65,Natalia Orbach-M,2019,100 FREE-Relay Spl.
50.67,Michele Kee,2012,100 FREE-Relay Spl.
50.92,Kelly Ngo,2017,100 FREE-Relay Spl.
51.19,LillyBelle Deer,2015,100 FREE-Relay Spl.
51.27,Emma Jones,2010,100 FREE-Relay Spl.
51.28,Riley Hoffman,2018,100 FREE-Relay Spl.
51.29,Helen Liu,2014,100 FREE-Relay Spl.
51.37,Sarah Heine,2006,100 FREE-Relay Spl.
51.45,Ava Sealander,2022,100 FREE-Relay Spl.
51.56,Katelyn Dang,2022,100 FREE-Relay Spl.
1:50.91,Sarah Heine,2006,200 FREE-Relay Spl.
1:50.98,Ella Blake,2022,200 FREE-Relay Spl.
1:51.39,Augusta Lewis,2023,200 FREE-Relay Spl.
1:51.41,Katy Shaw,2023,200 FREE-Relay Spl.
1:51.56,Riley Hoffman,2018,200 FREE-Relay Spl.
1:51.64,Christina Campbell,2020,200 FREE-Relay Spl.
1:51.95,LillyBelle Deer,2015,200 FREE-Relay Spl.
1:52.53,Michele Kee,2012,200 FREE-Relay Spl.
1:52.78,Jordan Stewart,2009,200 FREE-Relay Spl.
1:53.04,Leila El Masri,2022,200 FREE-Relay Spl.
4:15.73,Augusta Lewis,2023,400 IM
4:27.18,Lisal Smith,2004,400 IM
4:30.33,Allyson Yao,2023,400 IM
4:30.77,Ivy Chen,2017,400 IM
4:31.96,Natalie Larsen,2019,400 IM
4:32.45,Jordan Stewart,2009,400 IM
4:32.57,Lauren Williams,2002,400 IM
4:32.68,Michele Kee,2012,400 IM
4:34.16,Anna Werts,2022,400 IM
4:34.27,Amy Fuller,2006,400 IM
25.94,Jocelyn Crawford,2019,50 BACK-Relay Leadoff
26.22,Jamee Mitchum,2022,50 BACK-Relay Leadoff
26.28,Kelly Ngo,2017,50 BACK-Relay Leadoff
26.57,Elsa Cheng,2011,50 BACK-Relay Leadoff
26.82,Stephanie Lewis,2020,50 BACK-Relay Leadoff
26.90,Sammy Ennis,2022,50 BACK-Relay Leadoff
27.14,Erin MacLean,2014,50 BACK-Relay Leadoff
27.14,Quinn Katayama-S,2023,50 BACK-Relay Leadoff
27.16,Elena Kovachevich,2018,50 BACK-Relay Leadoff
27.17,Ivy Chen,2017,50 BACK-Relay Leadoff
28.33,Annie Perizzolo,2010,50 BRST-Relay Spl.
28.96,Mackenzie Mayfield,2023,50 BRST-Relay Spl.
29.05,C Bacon-Brenes,2017,50 BRST-Relay Spl.
29.06,Maggie Wang,1997,50 BRST-Relay Spl.
29.09,Rachel Wander,2020,50 BRST-Relay Spl.
29.09,Augusta Lewis,2023,50 BRST-Relay Spl.
29.24,Stephanie Doi,2015,50 BRST-Relay Spl.
29.26,Zuzia Starzyk,2020,50 BRST-Relay Spl.
29.46,Bryn Edwards,2018,50 BRST-Relay Spl.
29.55,Michele Kee,2014,50 BRST-Relay Spl.
24.05,Ava Sealander,2020,50 FLY-Relay Spl.
24.28,Katie Bilotti,2011,50 FLY-Relay Spl.
24.58,Katelyn Dang,2022,50 FLY-Relay Spl.
24.59,Sun Young Byun,2023,50 FLY-Relay Spl.
24.65,Stephanie Lewis,2019,50 FLY-Relay Spl.
24.85,Lorea Gwo,2015,50 FLY-Relay Spl.
25.05,Annika Jessen,2014,50 FLY-Relay Spl.
25.08,Madeleine Kan,2023,50 FLY-Relay Spl.
25.24,Stephanie Doi,2017,50 FLY-Relay Spl.
25.34,Janet Tran,2019,50 FLY-Relay Spl.
54.65,Ava Sealander,2022,100 FLY-Relay Spl.
54.81,Katelyn Dang,2022,100 FLY-Relay Spl.
54.91,Katie Bilotti,2009,100 FLY-Relay Spl.
55.11,Annika Jessen,2014,100 FLY-Relay Spl.
55.13,Augusta Lewis,2023,100 FLY-Relay Spl.
55.25,Michele Kee,2011,100 FLY-Relay Spl.
55.27,Lorea Gwo,2015,100 FLY-Relay Spl.
55.45,Sun Young Byun,2023,100 FLY-Relay Spl.
55.62,Janet Tran,2020,100 FLY-Relay Spl.
56.21,Stephanie Doi,2017,100 FLY-Relay Spl.
